block_group,m_biz_type,count_biz_type
480291805031,workers_m_profit,113.0
480291805032,workers_m_profit,302.0
480291704013,workers_m_profit,126.0
480291704012,workers_m_profit,67.0
480291914061,workers_m_profit,526.0
480291914092,workers_m_profit,823.0
480291212042,workers_m_profit,435.0
480291215081,workers_m_profit,258.0
480291914051,workers_m_profit,635.0
480291914052,workers_m_profit,363.0
480291914053,workers_m_profit,241.0
480291914055,workers_m_profit,205.0
480291709001,workers_m_profit,145.0
480291709003,workers_m_profit,87.0
480291610002,workers_m_profit,278.0
480291610001,workers_m_profit,270.0
480291615015,workers_m_profit,301.0
480291615011,workers_m_profit,831.0
480291615013,workers_m_profit,329.0
480291711001,workers_m_profit,435.0
480291620011,workers_m_profit,414.0
480291701022,workers_m_profit,271.0
480291701021,workers_m_profit,201.0
480291807022,workers_m_profit,248.0
480291807023,workers_m_profit,69.0
480291807025,workers_m_profit,50.0
480291809012,workers_m_profit,217.0
480291809015,workers_m_profit,176.0
480291106003,workers_m_profit,56.0
480291108002,workers_m_profit,81.0
480291108001,workers_m_profit,160.0
480291208004,workers_m_profit,147.0
480291208006,workers_m_profit,157.0
480291208001,workers_m_profit,179.0
480291208002,workers_m_profit,116.0
480291208005,workers_m_profit,155.0
480291208007,workers_m_profit,219.0
480291208003,workers_m_profit,305.0
480291211113,workers_m_profit,263.0
480291211111,workers_m_profit,233.0
480291211112,workers_m_profit,366.0
480291211114,workers_m_profit,393.0
480291211161,workers_m_profit,359.0
480291211164,workers_m_profit,265.0
480291211162,workers_m_profit,42.0
480291211181,workers_m_profit,321.0
480291211182,workers_m_profit,798.0
480291212031,workers_m_profit,139.0
480291212032,workers_m_profit,342.0
480291212051,workers_m_profit,709.0
480291817182,workers_m_profit,392.0
480291818111,workers_m_profit,776.0
480291902003,workers_m_profit,114.0
480291902004,workers_m_profit,209.0
480291902001,workers_m_profit,77.0
480291802021,workers_m_profit,183.0
480291802023,workers_m_profit,244.0
480291805013,workers_m_profit,97.0
480291805012,workers_m_profit,127.0
480291805011,workers_m_profit,421.0
480291808002,workers_m_profit,192.0
480291808001,workers_m_profit,161.0
480291708002,workers_m_profit,128.0
480291106002,workers_m_profit,87.0
480291504001,workers_m_profit,42.0
480291504002,workers_m_profit,170.0
480291510001,workers_m_profit,140.0
480291521002,workers_m_profit,240.0
480291521001,workers_m_profit,172.0
480291607024,workers_m_profit,162.0
480291607023,workers_m_profit,177.0
480291616002,workers_m_profit,505.0
480291616001,workers_m_profit,175.0
480291216012,workers_m_profit,275.0
480291216013,workers_m_profit,381.0
480291216014,workers_m_profit,160.0
480291218021,workers_m_profit,480.0
480291218023,workers_m_profit,684.0
480291303002,workers_m_profit,163.0
480291303001,workers_m_profit,97.0
480291307002,workers_m_profit,192.0
480291307001,workers_m_profit,158.0
