block_group,B19051_000E,B19051_002E,B19051_003E,B19052_002E,B19052_003E,B19053_002E,B19053_003E,B19054_002E,B19054_003E,B19055_002E,B19055_003E,B19056_002E,B19056_003E,B19057_002E,B19057_003E,B19058_002E,B19058_003E,B19059_002E,B19059_003E,B19060_002E,B19060_003E
480291805031,240.0,203.0,37.0,203.0,37.0,0.0,240.0,29.0,211.0,69.0,171.0,21.0,219.0,10.0,230.0,20.0,220.0,63.0,177.0,10.0,230.0
480291805032,536.0,422.0,114.0,422.0,114.0,16.0,520.0,19.0,517.0,117.0,419.0,20.0,516.0,8.0,528.0,36.0,500.0,141.0,395.0,82.0,454.0
480291704013,409.0,272.0,137.0,272.0,137.0,12.0,397.0,0.0,409.0,152.0,257.0,91.0,318.0,16.0,393.0,232.0,177.0,65.0,344.0,43.0,366.0
480291704012,190.0,120.0,70.0,120.0,70.0,16.0,174.0,16.0,174.0,67.0,123.0,52.0,138.0,5.0,185.0,72.0,118.0,45.0,145.0,12.0,178.0
480291914061,1133.0,963.0,170.0,904.0,229.0,180.0,953.0,276.0,857.0,340.0,793.0,32.0,1101.0,0.0,1133.0,0.0,1133.0,352.0,781.0,72.0,1061.0
480291914092,1419.0,1328.0,91.0,1262.0,157.0,159.0,1260.0,46.0,1373.0,148.0,1271.0,67.0,1352.0,18.0,1401.0,125.0,1294.0,72.0,1347.0,52.0,1367.0
480291212042,792.0,679.0,113.0,662.0,130.0,80.0,712.0,105.0,687.0,165.0,627.0,40.0,752.0,25.0,767.0,137.0,655.0,111.0,681.0,99.0,693.0
480291215081,462.0,360.0,102.0,337.0,125.0,55.0,407.0,94.0,368.0,178.0,284.0,9.0,453.0,8.0,454.0,92.0,370.0,91.0,371.0,80.0,382.0
480291914051,1131.0,941.0,190.0,941.0,190.0,89.0,1042.0,152.0,979.0,188.0,943.0,28.0,1103.0,48.0,1083.0,88.0,1043.0,146.0,985.0,95.0,1036.0
480291914052,864.0,684.0,180.0,649.0,215.0,138.0,726.0,199.0,665.0,268.0,596.0,35.0,829.0,0.0,864.0,16.0,848.0,206.0,658.0,95.0,769.0
480291914053,587.0,507.0,80.0,459.0,128.0,105.0,482.0,256.0,331.0,281.0,306.0,15.0,572.0,0.0,587.0,51.0,536.0,135.0,452.0,53.0,534.0
480291914055,423.0,286.0,137.0,271.0,152.0,33.0,390.0,184.0,239.0,174.0,249.0,16.0,407.0,0.0,423.0,0.0,423.0,197.0,226.0,91.0,332.0
480291709001,453.0,327.0,126.0,327.0,126.0,58.0,395.0,20.0,433.0,78.0,375.0,59.0,394.0,19.0,434.0,283.0,170.0,38.0,415.0,77.0,376.0
480291709003,252.0,198.0,54.0,198.0,54.0,26.0,226.0,9.0,243.0,126.0,126.0,28.0,224.0,0.0,252.0,66.0,186.0,27.0,225.0,18.0,234.0
480291610002,533.0,427.0,106.0,399.0,134.0,51.0,482.0,5.0,528.0,157.0,376.0,150.0,383.0,32.0,501.0,237.0,296.0,26.0,507.0,84.0,449.0
480291610001,628.0,417.0,211.0,410.0,218.0,21.0,607.0,32.0,596.0,293.0,335.0,120.0,508.0,6.0,622.0,247.0,381.0,126.0,502.0,68.0,560.0
480291615015,537.0,433.0,104.0,419.0,118.0,99.0,438.0,50.0,487.0,87.0,450.0,44.0,493.0,11.0,526.0,106.0,431.0,60.0,477.0,23.0,514.0
480291615011,1101.0,950.0,151.0,937.0,164.0,13.0,1088.0,14.0,1087.0,283.0,818.0,82.0,1019.0,16.0,1085.0,335.0,766.0,229.0,872.0,119.0,982.0
480291615013,387.0,316.0,71.0,316.0,71.0,0.0,387.0,13.0,374.0,126.0,261.0,84.0,303.0,0.0,387.0,121.0,266.0,97.0,290.0,64.0,323.0
480291711001,556.0,402.0,154.0,343.0,213.0,68.0,488.0,49.0,507.0,166.0,390.0,81.0,475.0,10.0,546.0,193.0,363.0,79.0,477.0,70.0,486.0
480291620011,568.0,456.0,112.0,438.0,130.0,71.0,497.0,71.0,497.0,218.0,350.0,56.0,512.0,4.0,564.0,112.0,456.0,93.0,475.0,102.0,466.0
480291701022,260.0,192.0,68.0,192.0,68.0,0.0,260.0,0.0,260.0,115.0,145.0,23.0,237.0,0.0,260.0,54.0,206.0,48.0,212.0,0.0,260.0
480291701021,339.0,217.0,122.0,186.0,153.0,70.0,269.0,8.0,331.0,123.0,216.0,16.0,323.0,39.0,300.0,93.0,246.0,90.0,249.0,15.0,324.0
480291807022,486.0,309.0,177.0,284.0,202.0,75.0,411.0,56.0,430.0,212.0,274.0,49.0,437.0,7.0,479.0,25.0,461.0,66.0,420.0,71.0,415.0
480291807023,174.0,162.0,12.0,133.0,41.0,29.0,145.0,0.0,174.0,12.0,162.0,11.0,163.0,0.0,174.0,61.0,113.0,0.0,174.0,42.0,132.0
480291807025,238.0,153.0,85.0,107.0,131.0,56.0,182.0,63.0,175.0,65.0,173.0,0.0,238.0,16.0,222.0,16.0,222.0,43.0,195.0,53.0,185.0
480291809012,434.0,267.0,167.0,267.0,167.0,28.0,406.0,49.0,385.0,132.0,302.0,36.0,398.0,10.0,424.0,61.0,373.0,61.0,373.0,48.0,386.0
480291809015,322.0,230.0,92.0,230.0,92.0,18.0,304.0,32.0,290.0,161.0,161.0,10.0,312.0,0.0,322.0,0.0,322.0,112.0,210.0,56.0,266.0
480291106003,312.0,30.0,282.0,30.0,282.0,0.0,312.0,0.0,312.0,221.0,91.0,158.0,154.0,50.0,262.0,222.0,90.0,19.0,293.0,27.0,285.0
480291108002,284.0,163.0,121.0,163.0,121.0,10.0,274.0,20.0,264.0,78.0,206.0,25.0,259.0,6.0,278.0,80.0,204.0,4.0,280.0,41.0,243.0
480291108001,319.0,250.0,69.0,247.0,72.0,31.0,288.0,18.0,301.0,80.0,239.0,0.0,319.0,2.0,317.0,26.0,293.0,24.0,295.0,5.0,314.0
480291208004,309.0,232.0,77.0,232.0,77.0,0.0,309.0,128.0,181.0,107.0,202.0,0.0,309.0,17.0,292.0,17.0,292.0,30.0,279.0,27.0,282.0
480291208006,406.0,341.0,65.0,307.0,99.0,159.0,247.0,223.0,183.0,72.0,334.0,0.0,406.0,0.0,406.0,0.0,406.0,64.0,342.0,38.0,368.0
480291208001,275.0,195.0,80.0,179.0,96.0,61.0,214.0,164.0,111.0,144.0,131.0,0.0,275.0,0.0,275.0,0.0,275.0,66.0,209.0,52.0,223.0
