block_group,B01001_001E,B01001_002E,B01001_026E,B01001_001E_W,B01001_002E_W,B01001_026E_W,B01001_001E_N,B01001_002E_N,B01001_026E_N,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_006E,B03002_002E_O,B03002_012E,B08134_001E,B08134_003E_M,B08134_006E_M,B08134_009E_M,B08134_010E,B08134_011E,B08134_013E_M,B08134_016E_M,B08134_019E_M,B08134_020E,B08134_071E,B08134_073E_M,B08134_076E_M,B08134_079E_M,B08134_080E,B08301_001E,B08301_002E,B08301_003E,B08301_004E,B08301_011E,B08301_021E,B08302_001E,B08302_002E,B08302_004E_M,B08302_006E_M,B08302_008E_M,B08302_010E_M,B08302_011E,B08302_013E_M,B08302_014E,B08302_015E,B19001_001E,B19001_002E,B19001_005E_M,B19001_010E_M,B19001_013E_M,B19001_016E_M,B19001_017E,B19051_000E,B19051_002E,B19051_003E,B19052_002E,B19052_003E,B19053_002E,B19053_003E,B19054_002E,B19054_003E,B19055_002E,B19055_003E,B19056_002E,B19056_003E,B19057_002E,B19057_003E,B19058_002E,B19058_003E,B19059_002E,B19059_003E,B19060_002E,B19060_003E,B24080_001E,B24080_001E_03,B24080_001E_06,B24080_001E_09,B24080_001E_10,B24080_001E_11,B24080_002E,B24080_003E,B24080_006E,B24080_009E_M,B24080_010E,B24080_011E,B24080_012E,B24080_013E,B24080_016E,B24080_019E_M,B24080_020E,B24080_021E,C17002_001E,C17002_002E,C17002_003E,C17002_005E_M,C17002_007E_M,C17002_008E
480291805031,659.0,417.0,242.0,454.0,279.0,175.0,205.0,138.0,67.0,659.0,71.0,71.0,0.0,0.0,0.0,588.0,366.0,43.0,154.0,169.0,0.0,336.0,43.0,129.0,164.0,0.0,5.0,0.0,0.0,5.0,0.0,366.0,336.0,294.0,42.0,5.0,0.0,366.0,0.0,57.0,51.0,143.0,57.0,10.0,0.0,46.0,2.0,240.0,10.0,8.0,40.0,164.0,18.0,0.0,240.0,203.0,37.0,203.0,37.0,0.0,240.0,29.0,211.0,69.0,171.0,21.0,219.0,10.0,230.0,20.0,220.0,63.0,177.0,10.0,230.0,366.0,255.0,24.0,87.0,0.0,0.0,186.0,113.0,22.0,51.0,0.0,0.0,180.0,142.0,2.0,36.0,0.0,0.0,659.0,33.0,0.0,193.0,39.0,394.0
480291805032,1942.0,806.0,1136.0,1319.0,553.0,766.0,623.0,253.0,370.0,1942.0,252.0,193.0,59.0,0.0,0.0,1690.0,765.0,187.0,374.0,204.0,0.0,765.0,187.0,374.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,777.0,765.0,656.0,109.0,0.0,12.0,765.0,38.0,201.0,128.0,130.0,43.0,0.0,86.0,68.0,71.0,536.0,33.0,116.0,91.0,244.0,52.0,0.0,536.0,422.0,114.0,422.0,114.0,16.0,520.0,19.0,517.0,117.0,419.0,20.0,516.0,8.0,528.0,36.0,500.0,141.0,395.0,82.0,454.0,809.0,656.0,80.0,66.0,7.0,0.0,362.0,302.0,18.0,35.0,7.0,0.0,447.0,354.0,62.0,31.0,0.0,0.0,1942.0,160.0,280.0,158.0,173.0,1171.0
480291704013,1676.0,663.0,1013.0,838.0,327.0,511.0,838.0,336.0,502.0,1676.0,441.0,272.0,169.0,0.0,0.0,1235.0,416.0,92.0,175.0,133.0,16.0,332.0,92.0,175.0,65.0,0.0,43.0,0.0,0.0,27.0,16.0,416.0,332.0,249.0,83.0,43.0,0.0,416.0,18.0,0.0,79.0,151.0,84.0,41.0,0.0,34.0,9.0,409.0,130.0,181.0,73.0,13.0,12.0,0.0,409.0,272.0,137.0,272.0,137.0,12.0,397.0,0.0,409.0,152.0,257.0,91.0,318.0,16.0,393.0,232.0,177.0,65.0,344.0,43.0,366.0,416.0,381.0,15.0,20.0,0.0,0.0,141.0,126.0,15.0,0.0,0.0,0.0,275.0,255.0,0.0,20.0,0.0,0.0,1676.0,630.0,460.0,303.0,77.0,206.0
480291704012,730.0,384.0,346.0,306.0,123.0,183.0,424.0,261.0,163.0,730.0,47.0,15.0,32.0,0.0,0.0,683.0,140.0,23.0,57.0,50.0,10.0,100.0,23.0,36.0,41.0,0.0,30.0,0.0,11.0,9.0,10.0,140.0,100.0,83.0,17.0,30.0,0.0,140.0,0.0,0.0,38.0,48.0,10.0,13.0,0.0,21.0,10.0,190.0,57.0,62.0,14.0,57.0,0.0,0.0,190.0,120.0,70.0,120.0,70.0,16.0,174.0,16.0,174.0,67.0,123.0,52.0,138.0,5.0,185.0,72.0,118.0,45.0,145.0,12.0,178.0,140.0,115.0,17.0,8.0,0.0,0.0,92.0,67.0,17.0,8.0,0.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,730.0,260.0,69.0,116.0,159.0,126.0
480291914061,2612.0,1229.0,1383.0,1546.0,701.0,845.0,1066.0,528.0,538.0,2612.0,1652.0,1451.0,21.0,91.0,89.0,960.0,1211.0,179.0,648.0,355.0,29.0,1189.0,167.0,648.0,355.0,19.0,10.0,0.0,0.0,0.0,10.0,1459.0,1189.0,1116.0,73.0,10.0,248.0,1211.0,20.0,64.0,156.0,462.0,237.0,105.0,57.0,70.0,40.0,1133.0,0.0,56.0,228.0,258.0,379.0,212.0,1133.0,963.0,170.0,904.0,229.0,180.0,953.0,276.0,857.0,340.0,793.0,32.0,1101.0,0.0,1133.0,0.0,1133.0,352.0,781.0,72.0,1061.0,1459.0,854.0,155.0,283.0,167.0,0.0,798.0,526.0,31.0,140.0,101.0,0.0,661.0,328.0,124.0,143.0,66.0,0.0,2612.0,0.0,84.0,150.0,50.0,2328.0
480291914092,2824.0,1565.0,1259.0,2095.0,1167.0,928.0,729.0,398.0,331.0,2824.0,1011.0,802.0,149.0,60.0,0.0,1813.0,1780.0,313.0,1107.0,320.0,40.0,1634.0,313.0,1069.0,212.0,40.0,104.0,0.0,24.0,80.0,0.0,1803.0,1634.0,1429.0,205.0,104.0,23.0,1780.0,76.0,122.0,109.0,510.0,367.0,237.0,86.0,58.0,215.0,1419.0,80.0,321.0,490.0,392.0,110.0,26.0,1419.0,1328.0,91.0,1262.0,157.0,159.0,1260.0,46.0,1373.0,148.0,1271.0,67.0,1352.0,18.0,1401.0,125.0,1294.0,72.0,1347.0,52.0,1367.0,1787.0,1379.0,108.0,171.0,129.0,0.0,1025.0,823.0,71.0,84.0,47.0,0.0,762.0,556.0,37.0,87.0,82.0,0.0,2824.0,122.0,477.0,182.0,333.0,1710.0
480291212042,1666.0,860.0,806.0,1277.0,662.0,615.0,389.0,198.0,191.0,1666.0,1162.0,789.0,271.0,0.0,102.0,504.0,935.0,225.0,503.0,95.0,112.0,856.0,211.0,500.0,95.0,50.0,65.0,0.0,3.0,0.0,62.0,969.0,856.0,702.0,154.0,65.0,34.0,935.0,30.0,114.0,163.0,296.0,119.0,76.0,0.0,35.0,102.0,792.0,107.0,96.0,295.0,162.0,132.0,0.0,792.0,679.0,113.0,662.0,130.0,80.0,712.0,105.0,687.0,165.0,627.0,40.0,752.0,25.0,767.0,137.0,655.0,111.0,681.0,99.0,693.0,969.0,731.0,52.0,122.0,64.0,0.0,542.0,435.0,39.0,51.0,17.0,0.0,427.0,296.0,13.0,71.0,47.0,0.0,1635.0,257.0,24.0,202.0,98.0,1054.0
480291215081,1465.0,743.0,722.0,797.0,485.0,312.0,668.0,258.0,410.0,1465.0,940.0,343.0,542.0,0.0,55.0,525.0,626.0,108.0,313.0,157.0,48.0,626.0,108.0,313.0,157.0,48.0,0.0,0.0,0.0,0.0,0.0,626.0,626.0,568.0,58.0,0.0,0.0,626.0,58.0,93.0,63.0,152.0,13.0,25.0,72.0,11.0,139.0,462.0,26.0,63.0,157.0,193.0,23.0,0.0,462.0,360.0,102.0,337.0,125.0,55.0,407.0,94.0,368.0,178.0,284.0,9.0,453.0,8.0,454.0,92.0,370.0,91.0,371.0,80.0,382.0,623.0,401.0,28.0,151.0,31.0,12.0,402.0,258.0,28.0,81.0,23.0,12.0,221.0,143.0,0.0,70.0,8.0,0.0,1465.0,79.0,234.0,57.0,387.0,708.0
480291914051,2767.0,1451.0,1316.0,1880.0,911.0,969.0,887.0,540.0,347.0,2767.0,807.0,557.0,152.0,62.0,36.0,1960.0,1574.0,196.0,952.0,389.0,37.0,1484.0,143.0,952.0,389.0,0.0,37.0,0.0,0.0,0.0,37.0,1607.0,1484.0,1445.0,39.0,37.0,33.0,1574.0,79.0,97.0,143.0,443.0,174.0,142.0,35.0,231.0,230.0,1131.0,31.0,233.0,224.0,531.0,80.0,32.0,1131.0,941.0,190.0,941.0,190.0,89.0,1042.0,152.0,979.0,188.0,943.0,28.0,1103.0,48.0,1083.0,88.0,1043.0,146.0,985.0,95.0,1036.0,1607.0,1261.0,130.0,123.0,93.0,0.0,873.0,635.0,73.0,91.0,74.0,0.0,734.0,626.0,57.0,32.0,19.0,0.0,2767.0,103.0,95.0,774.0,322.0,1473.0
480291914052,2152.0,1031.0,1121.0,1454.0,669.0,785.0,698.0,362.0,336.0,2152.0,1444.0,1318.0,14.0,51.0,61.0,708.0,1093.0,211.0,447.0,360.0,75.0,993.0,210.0,411.0,343.0,29.0,46.0,0.0,0.0,0.0,46.0,1198.0,993.0,976.0,17.0,46.0,105.0,1093.0,36.0,81.0,16.0,450.0,178.0,163.0,66.0,55.0,48.0,864.0,0.0,167.0,88.0,244.0,263.0,102.0,864.0,684.0,180.0,649.0,215.0,138.0,726.0,199.0,665.0,268.0,596.0,35.0,829.0,0.0,864.0,16.0,848.0,206.0,658.0,95.0,769.0,1198.0,742.0,192.0,185.0,79.0,0.0,529.0,363.0,60.0,59.0,47.0,0.0,669.0,379.0,132.0,126.0,32.0,0.0,2152.0,2.0,110.0,108.0,52.0,1880.0
