block_group,f_biz_type,f_count_biz_type
480291805031,workers_f_for_profit,142.0
480291805032,workers_f_for_profit,354.0
480291704013,workers_f_for_profit,255.0
480291704012,workers_f_for_profit,48.0
480291914061,workers_f_for_profit,328.0
480291914092,workers_f_for_profit,556.0
480291212042,workers_f_for_profit,296.0
480291215081,workers_f_for_profit,143.0
480291914051,workers_f_for_profit,626.0
480291914052,workers_f_for_profit,379.0
480291914053,workers_f_for_profit,301.0
480291914055,workers_f_for_profit,33.0
480291709001,workers_f_for_profit,220.0
480291709003,workers_f_for_profit,104.0
480291610002,workers_f_for_profit,348.0
480291610001,workers_f_for_profit,337.0
480291615015,workers_f_for_profit,186.0
480291615011,workers_f_for_profit,515.0
480291615013,workers_f_for_profit,181.0
480291711001,workers_f_for_profit,220.0
480291620011,workers_f_for_profit,321.0
480291701022,workers_f_for_profit,268.0
480291701021,workers_f_for_profit,89.0
480291807022,workers_f_for_profit,254.0
480291807023,workers_f_for_profit,73.0
480291807025,workers_f_for_profit,90.0
480291809012,workers_f_for_profit,207.0
480291809015,workers_f_for_profit,159.0
480291106003,workers_f_for_profit,19.0
480291108002,workers_f_for_profit,108.0
480291108001,workers_f_for_profit,123.0
480291208004,workers_f_for_profit,133.0
480291208006,workers_f_for_profit,144.0
480291208001,workers_f_for_profit,112.0
480291208002,workers_f_for_profit,128.0
480291208005,workers_f_for_profit,33.0
480291208007,workers_f_for_profit,61.0
480291208003,workers_f_for_profit,249.0
480291211113,workers_f_for_profit,234.0
480291211111,workers_f_for_profit,239.0
480291211112,workers_f_for_profit,323.0
480291211114,workers_f_for_profit,309.0
480291211161,workers_f_for_profit,365.0
480291211164,workers_f_for_profit,429.0
480291211162,workers_f_for_profit,30.0
480291211181,workers_f_for_profit,70.0
480291211182,workers_f_for_profit,597.0
480291212031,workers_f_for_profit,66.0
480291212032,workers_f_for_profit,236.0
480291212051,workers_f_for_profit,598.0
480291817182,workers_f_for_profit,279.0
480291818111,workers_f_for_profit,549.0
480291902003,workers_f_for_profit,236.0
480291902004,workers_f_for_profit,124.0
480291902001,workers_f_for_profit,129.0
480291802021,workers_f_for_profit,146.0
480291802023,workers_f_for_profit,217.0
480291805013,workers_f_for_profit,198.0
480291805012,workers_f_for_profit,59.0
480291805011,workers_f_for_profit,196.0
480291808002,workers_f_for_profit,191.0
480291808001,workers_f_for_profit,196.0
480291708002,workers_f_for_profit,137.0
480291106002,workers_f_for_profit,303.0
480291504001,workers_f_for_profit,106.0
480291504002,workers_f_for_profit,112.0
480291510001,workers_f_for_profit,138.0
480291521002,workers_f_for_profit,147.0
480291521001,workers_f_for_profit,190.0
480291607024,workers_f_for_profit,110.0
480291607023,workers_f_for_profit,164.0
480291616002,workers_f_for_profit,458.0
480291616001,workers_f_for_profit,358.0
480291216012,workers_f_for_profit,191.0
480291216013,workers_f_for_profit,291.0
480291216014,workers_f_for_profit,216.0
480291218021,workers_f_for_profit,329.0
480291218023,workers_f_for_profit,759.0
480291303002,workers_f_for_profit,265.0
480291303001,workers_f_for_profit,101.0
480291307002,workers_f_for_profit,51.0
480291307001,workers_f_for_profit,219.0
480291702004,workers_f_for_profit,124.0
480291702006,workers_f_for_profit,180.0
480291702002,workers_f_for_profit,90.0
480291702005,workers_f_for_profit,52.0
480291702001,workers_f_for_profit,98.0
480291316011,workers_f_for_profit,88.0
480291317001,workers_f_for_profit,51.0
480291412004,workers_f_for_profit,103.0
480291412001,workers_f_for_profit,218.0
480291412005,workers_f_for_profit,177.0
480291412002,workers_f_for_profit,169.0
480291501003,workers_f_for_profit,145.0
480291309002,workers_f_for_profit,161.0
480291309003,workers_f_for_profit,181.0
480291310003,workers_f_for_profit,215.0
480291310004,workers_f_for_profit,71.0
480291310001,workers_f_for_profit,462.0
480291310002,workers_f_for_profit,118.0
480291405003,workers_f_for_profit,221.0
480291405002,workers_f_for_profit,313.0
480291405001,workers_f_for_profit,132.0
480291405004,workers_f_for_profit,125.0
480291406002,workers_f_for_profit,146.0
480291406001,workers_f_for_profit,257.0
480291407003,workers_f_for_profit,43.0
480291407001,workers_f_for_profit,168.0
480291407004,workers_f_for_profit,170.0
480291407005,workers_f_for_profit,171.0
480291413001,workers_f_for_profit,183.0
480291413003,workers_f_for_profit,566.0
480291702003,workers_f_for_profit,247.0
480291806023,workers_f_for_profit,201.0
480291806021,workers_f_for_profit,79.0
480291911021,workers_f_for_profit,67.0
480291911022,workers_f_for_profit,102.0
480291911023,workers_f_for_profit,153.0
480291209012,workers_f_for_profit,124.0
480291209011,workers_f_for_profit,62.0
480291211122,workers_f_for_profit,321.0
480291519001,workers_f_for_profit,286.0
480291409002,workers_f_for_profit,190.0
480291417001,workers_f_for_profit,483.0
480291417002,workers_f_for_profit,463.0
480291505012,workers_f_for_profit,185.0
480291505014,workers_f_for_profit,230.0
480291604002,workers_f_for_profit,208.0
480291604004,workers_f_for_profit,78.0
480291604001,workers_f_for_profit,207.0
480291604003,workers_f_for_profit,131.0
480291611005,workers_f_for_profit,139.0
480291611006,workers_f_for_profit,86.0
480291611001,workers_f_for_profit,451.0
480291611004,workers_f_for_profit,274.0
