block_group,commute_time,count_commute_time
480291805031,commute_time_tot_00_14,43.0
480291805032,commute_time_tot_00_14,187.0
480291704013,commute_time_tot_00_14,92.0
480291704012,commute_time_tot_00_14,23.0
480291914061,commute_time_tot_00_14,179.0
480291914092,commute_time_tot_00_14,313.0
480291212042,commute_time_tot_00_14,225.0
480291215081,commute_time_tot_00_14,108.0
480291914051,commute_time_tot_00_14,196.0
480291914052,commute_time_tot_00_14,211.0
480291914053,commute_time_tot_00_14,149.0
480291914055,commute_time_tot_00_14,107.0
480291709001,commute_time_tot_00_14,149.0
480291709003,commute_time_tot_00_14,70.0
480291610002,commute_time_tot_00_14,267.0
480291610001,commute_time_tot_00_14,150.0
480291615015,commute_time_tot_00_14,212.0
480291615011,commute_time_tot_00_14,302.0
480291615013,commute_time_tot_00_14,144.0
480291711001,commute_time_tot_00_14,67.0
480291620011,commute_time_tot_00_14,141.0
480291701022,commute_time_tot_00_14,145.0
480291701021,commute_time_tot_00_14,23.0
480291807022,commute_time_tot_00_14,124.0
480291807023,commute_time_tot_00_14,9.0
480291807025,commute_time_tot_00_14,21.0
480291809012,commute_time_tot_00_14,42.0
480291809015,commute_time_tot_00_14,82.0
480291106003,commute_time_tot_00_14,0.0
480291108002,commute_time_tot_00_14,95.0
480291108001,commute_time_tot_00_14,81.0
480291208004,commute_time_tot_00_14,173.0
480291208006,commute_time_tot_00_14,263.0
480291208001,commute_time_tot_00_14,139.0
480291208002,commute_time_tot_00_14,58.0
480291208005,commute_time_tot_00_14,69.0
480291208007,commute_time_tot_00_14,143.0
480291208003,commute_time_tot_00_14,272.0
480291211113,commute_time_tot_00_14,196.0
480291211111,commute_time_tot_00_14,91.0
480291211112,commute_time_tot_00_14,163.0
480291211114,commute_time_tot_00_14,280.0
480291211161,commute_time_tot_00_14,482.0
480291211164,commute_time_tot_00_14,208.0
480291211162,commute_time_tot_00_14,42.0
480291211181,commute_time_tot_00_14,171.0
480291211182,commute_time_tot_00_14,360.0
480291212031,commute_time_tot_00_14,11.0
480291212032,commute_time_tot_00_14,246.0
480291212051,commute_time_tot_00_14,341.0
480291817182,commute_time_tot_00_14,116.0
480291818111,commute_time_tot_00_14,451.0
480291902003,commute_time_tot_00_14,352.0
480291902004,commute_time_tot_00_14,207.0
480291902001,commute_time_tot_00_14,181.0
480291802021,commute_time_tot_00_14,56.0
480291802023,commute_time_tot_00_14,110.0
480291805013,commute_time_tot_00_14,87.0
480291805012,commute_time_tot_00_14,24.0
480291805011,commute_time_tot_00_14,118.0
480291808002,commute_time_tot_00_14,78.0
480291808001,commute_time_tot_00_14,47.0
480291708002,commute_time_tot_00_14,83.0
480291106002,commute_time_tot_00_14,117.0
