block_group,gender_work_age,count_gender_work_age
480291805031,sex_work_age_tot_m,279.0
480291805032,sex_work_age_tot_m,553.0
480291704013,sex_work_age_tot_m,327.0
480291704012,sex_work_age_tot_m,123.0
480291914061,sex_work_age_tot_m,701.0
480291914092,sex_work_age_tot_m,1167.0
480291212042,sex_work_age_tot_m,662.0
480291215081,sex_work_age_tot_m,485.0
480291914051,sex_work_age_tot_m,911.0
480291914052,sex_work_age_tot_m,669.0
480291914053,sex_work_age_tot_m,340.0
480291914055,sex_work_age_tot_m,231.0
480291709001,sex_work_age_tot_m,306.0
480291709003,sex_work_age_tot_m,184.0
480291610002,sex_work_age_tot_m,515.0
480291610001,sex_work_age_tot_m,580.0
480291615015,sex_work_age_tot_m,474.0
480291615011,sex_work_age_tot_m,998.0
480291615013,sex_work_age_tot_m,382.0
480291711001,sex_work_age_tot_m,735.0
480291620011,sex_work_age_tot_m,564.0
480291701022,sex_work_age_tot_m,346.0
480291701021,sex_work_age_tot_m,278.0
480291807022,sex_work_age_tot_m,456.0
480291807023,sex_work_age_tot_m,187.0
480291807025,sex_work_age_tot_m,164.0
480291809012,sex_work_age_tot_m,388.0
480291809015,sex_work_age_tot_m,223.0
480291106003,sex_work_age_tot_m,2567.0
480291108002,sex_work_age_tot_m,178.0
480291108001,sex_work_age_tot_m,311.0
480291208004,sex_work_age_tot_m,278.0
480291208006,sex_work_age_tot_m,238.0
480291208001,sex_work_age_tot_m,309.0
480291208002,sex_work_age_tot_m,233.0
480291208005,sex_work_age_tot_m,205.0
480291208007,sex_work_age_tot_m,237.0
480291208003,sex_work_age_tot_m,394.0
480291211113,sex_work_age_tot_m,402.0
480291211111,sex_work_age_tot_m,247.0
480291211112,sex_work_age_tot_m,550.0
480291211114,sex_work_age_tot_m,679.0
480291211161,sex_work_age_tot_m,737.0
480291211164,sex_work_age_tot_m,366.0
480291211162,sex_work_age_tot_m,78.0
480291211181,sex_work_age_tot_m,579.0
480291211182,sex_work_age_tot_m,980.0
480291212031,sex_work_age_tot_m,235.0
480291212032,sex_work_age_tot_m,496.0
480291212051,sex_work_age_tot_m,1033.0
480291817182,sex_work_age_tot_m,614.0
480291818111,sex_work_age_tot_m,1070.0
480291902003,sex_work_age_tot_m,227.0
480291902004,sex_work_age_tot_m,316.0
480291902001,sex_work_age_tot_m,172.0
480291802021,sex_work_age_tot_m,254.0
480291802023,sex_work_age_tot_m,491.0
480291805013,sex_work_age_tot_m,325.0
480291805012,sex_work_age_tot_m,177.0
480291805011,sex_work_age_tot_m,780.0
480291808002,sex_work_age_tot_m,498.0
480291808001,sex_work_age_tot_m,235.0
480291708002,sex_work_age_tot_m,220.0
480291106002,sex_work_age_tot_m,281.0
480291504001,sex_work_age_tot_m,162.0
480291504002,sex_work_age_tot_m,421.0
480291510001,sex_work_age_tot_m,458.0
480291521002,sex_work_age_tot_m,348.0
480291521001,sex_work_age_tot_m,340.0
480291607024,sex_work_age_tot_m,276.0
480291607023,sex_work_age_tot_m,415.0
480291616002,sex_work_age_tot_m,892.0
480291616001,sex_work_age_tot_m,479.0
480291216012,sex_work_age_tot_m,416.0
480291216013,sex_work_age_tot_m,546.0
480291216014,sex_work_age_tot_m,378.0
480291218021,sex_work_age_tot_m,669.0
480291218023,sex_work_age_tot_m,1028.0
480291303002,sex_work_age_tot_m,310.0
480291303001,sex_work_age_tot_m,232.0
480291307002,sex_work_age_tot_m,278.0
480291307001,sex_work_age_tot_m,318.0
480291702004,sex_work_age_tot_m,298.0
480291702006,sex_work_age_tot_m,341.0
480291702002,sex_work_age_tot_m,280.0
480291702005,sex_work_age_tot_m,231.0
