block_group,household_earnings,count_household_earnings
480291805031,house_earnings_yes,203.0
480291805032,house_earnings_yes,422.0
480291704013,house_earnings_yes,272.0
480291704012,house_earnings_yes,120.0
480291914061,house_earnings_yes,963.0
480291914092,house_earnings_yes,1328.0
480291212042,house_earnings_yes,679.0
480291215081,house_earnings_yes,360.0
480291914051,house_earnings_yes,941.0
480291914052,house_earnings_yes,684.0
480291914053,house_earnings_yes,507.0
480291914055,house_earnings_yes,286.0
480291709001,house_earnings_yes,327.0
480291709003,house_earnings_yes,198.0
480291610002,house_earnings_yes,427.0
480291610001,house_earnings_yes,417.0
480291615015,house_earnings_yes,433.0
480291615011,house_earnings_yes,950.0
480291615013,house_earnings_yes,316.0
480291711001,house_earnings_yes,402.0
480291620011,house_earnings_yes,456.0
480291701022,house_earnings_yes,192.0
480291701021,house_earnings_yes,217.0
480291807022,house_earnings_yes,309.0
480291807023,house_earnings_yes,162.0
480291807025,house_earnings_yes,153.0
480291809012,house_earnings_yes,267.0
480291809015,house_earnings_yes,230.0
480291106003,house_earnings_yes,30.0
480291108002,house_earnings_yes,163.0
480291108001,house_earnings_yes,250.0
480291208004,house_earnings_yes,232.0
480291208006,house_earnings_yes,341.0
480291208001,house_earnings_yes,195.0
480291208002,house_earnings_yes,272.0
480291208005,house_earnings_yes,222.0
480291208007,house_earnings_yes,290.0
480291208003,house_earnings_yes,421.0
480291211113,house_earnings_yes,475.0
480291211111,house_earnings_yes,377.0
480291211112,house_earnings_yes,602.0
480291211114,house_earnings_yes,569.0
480291211161,house_earnings_yes,704.0
480291211164,house_earnings_yes,531.0
480291211162,house_earnings_yes,121.0
480291211181,house_earnings_yes,519.0
480291211182,house_earnings_yes,1046.0
480291212031,house_earnings_yes,216.0
480291212032,house_earnings_yes,398.0
480291212051,house_earnings_yes,788.0
480291817182,house_earnings_yes,508.0
480291818111,house_earnings_yes,1006.0
480291902003,house_earnings_yes,414.0
480291902004,house_earnings_yes,305.0
480291902001,house_earnings_yes,222.0
480291802021,house_earnings_yes,321.0
480291802023,house_earnings_yes,415.0
480291805013,house_earnings_yes,270.0
480291805012,house_earnings_yes,157.0
480291805011,house_earnings_yes,475.0
480291808002,house_earnings_yes,396.0
480291808001,house_earnings_yes,343.0
480291708002,house_earnings_yes,181.0
480291106002,house_earnings_yes,337.0
480291504001,house_earnings_yes,140.0
480291504002,house_earnings_yes,156.0
480291510001,house_earnings_yes,302.0
480291521002,house_earnings_yes,265.0
480291521001,house_earnings_yes,275.0
480291607024,house_earnings_yes,254.0
480291607023,house_earnings_yes,396.0
480291616002,house_earnings_yes,597.0
480291616001,house_earnings_yes,410.0
480291216012,house_earnings_yes,430.0
480291216013,house_earnings_yes,391.0
480291216014,house_earnings_yes,338.0
480291218021,house_earnings_yes,743.0
480291218023,house_earnings_yes,907.0
480291303002,house_earnings_yes,209.0
480291303001,house_earnings_yes,171.0
480291307002,house_earnings_yes,253.0
480291307001,house_earnings_yes,323.0
480291702004,house_earnings_yes,165.0
480291702006,house_earnings_yes,197.0
480291702002,house_earnings_yes,197.0
480291702005,house_earnings_yes,104.0
480291702001,house_earnings_yes,205.0
480291316011,house_earnings_yes,204.0
480291317001,house_earnings_yes,275.0
480291412004,house_earnings_yes,143.0
480291412001,house_earnings_yes,425.0
480291412005,house_earnings_yes,336.0
480291412002,house_earnings_yes,332.0
480291501003,house_earnings_yes,226.0
480291309002,house_earnings_yes,262.0
480291309003,house_earnings_yes,394.0
480291310003,house_earnings_yes,208.0
480291310004,house_earnings_yes,164.0
480291310001,house_earnings_yes,587.0
480291310002,house_earnings_yes,199.0
480291405003,house_earnings_yes,333.0
480291405002,house_earnings_yes,415.0
480291405001,house_earnings_yes,225.0
480291405004,house_earnings_yes,186.0
480291406002,house_earnings_yes,199.0
480291406001,house_earnings_yes,443.0
480291407003,house_earnings_yes,150.0
480291407001,house_earnings_yes,339.0
480291407004,house_earnings_yes,196.0
480291407005,house_earnings_yes,290.0
480291413001,house_earnings_yes,294.0
480291413003,house_earnings_yes,853.0
480291702003,house_earnings_yes,277.0
480291806023,house_earnings_yes,214.0
480291806021,house_earnings_yes,247.0
480291911021,house_earnings_yes,183.0
480291911022,house_earnings_yes,226.0
480291911023,house_earnings_yes,287.0
480291209012,house_earnings_yes,482.0
480291209011,house_earnings_yes,250.0
480291211122,house_earnings_yes,503.0
480291519001,house_earnings_yes,429.0
480291409002,house_earnings_yes,238.0
480291417001,house_earnings_yes,667.0
480291417002,house_earnings_yes,600.0
480291505012,house_earnings_yes,307.0
480291505014,house_earnings_yes,230.0
480291604002,house_earnings_yes,421.0
480291604004,house_earnings_yes,168.0
480291604001,house_earnings_yes,198.0
480291604003,house_earnings_yes,201.0
480291611005,house_earnings_yes,268.0
480291611006,house_earnings_yes,133.0
480291611001,house_earnings_yes,766.0
480291611004,house_earnings_yes,376.0
480291611003,house_earnings_yes,233.0
480291611002,house_earnings_yes,293.0
480291813012,house_earnings_yes,589.0
480291813011,house_earnings_yes,1118.0
480291814021,house_earnings_yes,331.0
480291814022,house_earnings_yes,528.0
480291109001,house_earnings_yes,819.0
480291110003,house_earnings_yes,481.0
480291110002,house_earnings_yes,217.0
480291204001,house_earnings_yes,430.0
480291204005,house_earnings_yes,370.0
480291710004,house_earnings_yes,335.0
480291204003,house_earnings_yes,271.0
480291207021,house_earnings_yes,1053.0
480291704014,house_earnings_yes,210.0
480291710001,house_earnings_yes,240.0
480291710002,house_earnings_yes,121.0
480291717001,house_earnings_yes,594.0
480291717003,house_earnings_yes,169.0
480291215013,house_earnings_yes,785.0
480291215011,house_earnings_yes,496.0
480291215074,house_earnings_yes,265.0
480291215071,house_earnings_yes,225.0
480291215072,house_earnings_yes,328.0
480291312002,house_earnings_yes,369.0
480291401002,house_earnings_yes,178.0
480291401001,house_earnings_yes,207.0
480291404004,house_earnings_yes,126.0
480291101002,house_earnings_yes,370.0
480291209022,house_earnings_yes,626.0
480291209021,house_earnings_yes,859.0
480291214033,house_earnings_yes,653.0
480291214031,house_earnings_yes,610.0
480291216042,house_earnings_yes,315.0
480291216043,house_earnings_yes,290.0
480291306004,house_earnings_yes,237.0
480291207022,house_earnings_yes,219.0
480291213003,house_earnings_yes,153.0
480291213001,house_earnings_yes,792.0
480291703004,house_earnings_yes,140.0
480291703002,house_earnings_yes,79.0
480291703006,house_earnings_yes,179.0
480291703005,house_earnings_yes,291.0
480291703003,house_earnings_yes,146.0
480291704024,house_earnings_yes,130.0
480291704021,house_earnings_yes,406.0
480291706001,house_earnings_yes,269.0
480291706004,house_earnings_yes,293.0
480291706003,house_earnings_yes,278.0
480291707003,house_earnings_yes,475.0
480291707002,house_earnings_yes,222.0
480291212044,house_earnings_yes,438.0
480291212043,house_earnings_yes,444.0
