block_group,household_int_div_rent,count_household_int_div_rent
480291805031,house_int_div_rent_yes,29.0
480291805032,house_int_div_rent_yes,19.0
480291704013,house_int_div_rent_yes,0.0
480291704012,house_int_div_rent_yes,16.0
480291914061,house_int_div_rent_yes,276.0
480291914092,house_int_div_rent_yes,46.0
480291212042,house_int_div_rent_yes,105.0
480291215081,house_int_div_rent_yes,94.0
480291914051,house_int_div_rent_yes,152.0
480291914052,house_int_div_rent_yes,199.0
480291914053,house_int_div_rent_yes,256.0
480291914055,house_int_div_rent_yes,184.0
480291709001,house_int_div_rent_yes,20.0
480291709003,house_int_div_rent_yes,9.0
480291610002,house_int_div_rent_yes,5.0
480291610001,house_int_div_rent_yes,32.0
480291615015,house_int_div_rent_yes,50.0
480291615011,house_int_div_rent_yes,14.0
480291615013,house_int_div_rent_yes,13.0
480291711001,house_int_div_rent_yes,49.0
480291620011,house_int_div_rent_yes,71.0
480291701022,house_int_div_rent_yes,0.0
480291701021,house_int_div_rent_yes,8.0
480291807022,house_int_div_rent_yes,56.0
480291807023,house_int_div_rent_yes,0.0
480291807025,house_int_div_rent_yes,63.0
480291809012,house_int_div_rent_yes,49.0
480291809015,house_int_div_rent_yes,32.0
480291106003,house_int_div_rent_yes,0.0
480291108002,house_int_div_rent_yes,20.0
480291108001,house_int_div_rent_yes,18.0
480291208004,house_int_div_rent_yes,128.0
480291208006,house_int_div_rent_yes,223.0
480291208001,house_int_div_rent_yes,164.0
480291208002,house_int_div_rent_yes,183.0
480291208005,house_int_div_rent_yes,121.0
480291208007,house_int_div_rent_yes,105.0
480291208003,house_int_div_rent_yes,230.0
480291211113,house_int_div_rent_yes,34.0
480291211111,house_int_div_rent_yes,68.0
480291211112,house_int_div_rent_yes,177.0
480291211114,house_int_div_rent_yes,85.0
480291211161,house_int_div_rent_yes,57.0
480291211164,house_int_div_rent_yes,135.0
480291211162,house_int_div_rent_yes,104.0
480291211181,house_int_div_rent_yes,172.0
480291211182,house_int_div_rent_yes,9.0
480291212031,house_int_div_rent_yes,19.0
480291212032,house_int_div_rent_yes,21.0
480291212051,house_int_div_rent_yes,61.0
480291817182,house_int_div_rent_yes,123.0
480291818111,house_int_div_rent_yes,195.0
480291902003,house_int_div_rent_yes,116.0
480291902004,house_int_div_rent_yes,45.0
480291902001,house_int_div_rent_yes,171.0
480291802021,house_int_div_rent_yes,13.0
480291802023,house_int_div_rent_yes,42.0
480291805013,house_int_div_rent_yes,92.0
480291805012,house_int_div_rent_yes,12.0
480291805011,house_int_div_rent_yes,35.0
480291808002,house_int_div_rent_yes,6.0
480291808001,house_int_div_rent_yes,15.0
480291708002,house_int_div_rent_yes,3.0
480291106002,house_int_div_rent_yes,37.0
480291504001,house_int_div_rent_yes,0.0
480291504002,house_int_div_rent_yes,24.0
480291510001,house_int_div_rent_yes,8.0
480291521002,house_int_div_rent_yes,43.0
480291521001,house_int_div_rent_yes,14.0
480291607024,house_int_div_rent_yes,31.0
480291607023,house_int_div_rent_yes,21.0
480291616002,house_int_div_rent_yes,34.0
480291616001,house_int_div_rent_yes,12.0
480291216012,house_int_div_rent_yes,126.0
480291216013,house_int_div_rent_yes,55.0
480291216014,house_int_div_rent_yes,36.0
480291218021,house_int_div_rent_yes,28.0
480291218023,house_int_div_rent_yes,91.0
480291303002,house_int_div_rent_yes,15.0
480291303001,house_int_div_rent_yes,15.0
480291307002,house_int_div_rent_yes,11.0
480291307001,house_int_div_rent_yes,0.0
480291702004,house_int_div_rent_yes,18.0
480291702006,house_int_div_rent_yes,8.0
480291702002,house_int_div_rent_yes,18.0
480291702005,house_int_div_rent_yes,18.0
480291702001,house_int_div_rent_yes,0.0
480291316011,house_int_div_rent_yes,53.0
480291317001,house_int_div_rent_yes,79.0
480291412004,house_int_div_rent_yes,0.0
480291412001,house_int_div_rent_yes,0.0
480291412005,house_int_div_rent_yes,36.0
480291412002,house_int_div_rent_yes,0.0
480291501003,house_int_div_rent_yes,37.0
