block_group,household_retirement,count_household_retirement
480291805031,house_retire_yes,63.0
480291805032,house_retire_yes,141.0
480291704013,house_retire_yes,65.0
480291704012,house_retire_yes,45.0
480291914061,house_retire_yes,352.0
480291914092,house_retire_yes,72.0
480291212042,house_retire_yes,111.0
480291215081,house_retire_yes,91.0
480291914051,house_retire_yes,146.0
480291914052,house_retire_yes,206.0
480291914053,house_retire_yes,135.0
480291914055,house_retire_yes,197.0
480291709001,house_retire_yes,38.0
480291709003,house_retire_yes,27.0
480291610002,house_retire_yes,26.0
480291610001,house_retire_yes,126.0
480291615015,house_retire_yes,60.0
480291615011,house_retire_yes,229.0
480291615013,house_retire_yes,97.0
480291711001,house_retire_yes,79.0
480291620011,house_retire_yes,93.0
480291701022,house_retire_yes,48.0
480291701021,house_retire_yes,90.0
480291807022,house_retire_yes,66.0
480291807023,house_retire_yes,0.0
480291807025,house_retire_yes,43.0
480291809012,house_retire_yes,61.0
480291809015,house_retire_yes,112.0
480291106003,house_retire_yes,19.0
480291108002,house_retire_yes,4.0
480291108001,house_retire_yes,24.0
480291208004,house_retire_yes,30.0
480291208006,house_retire_yes,64.0
480291208001,house_retire_yes,66.0
480291208002,house_retire_yes,143.0
480291208005,house_retire_yes,48.0
480291208007,house_retire_yes,14.0
480291208003,house_retire_yes,132.0
480291211113,house_retire_yes,69.0
480291211111,house_retire_yes,85.0
480291211112,house_retire_yes,177.0
480291211114,house_retire_yes,75.0
480291211161,house_retire_yes,44.0
480291211164,house_retire_yes,183.0
480291211162,house_retire_yes,52.0
480291211181,house_retire_yes,215.0
480291211182,house_retire_yes,26.0
480291212031,house_retire_yes,75.0
480291212032,house_retire_yes,68.0
480291212051,house_retire_yes,226.0
480291817182,house_retire_yes,97.0
480291818111,house_retire_yes,219.0
480291902003,house_retire_yes,44.0
480291902004,house_retire_yes,32.0
480291902001,house_retire_yes,76.0
480291802021,house_retire_yes,54.0
480291802023,house_retire_yes,186.0
480291805013,house_retire_yes,121.0
480291805012,house_retire_yes,55.0
480291805011,house_retire_yes,77.0
480291808002,house_retire_yes,28.0
480291808001,house_retire_yes,7.0
480291708002,house_retire_yes,6.0
480291106002,house_retire_yes,28.0
480291504001,house_retire_yes,22.0
480291504002,house_retire_yes,25.0
480291510001,house_retire_yes,33.0
480291521002,house_retire_yes,60.0
480291521001,house_retire_yes,54.0
480291607024,house_retire_yes,55.0
480291607023,house_retire_yes,84.0
480291616002,house_retire_yes,66.0
480291616001,house_retire_yes,109.0
480291216012,house_retire_yes,133.0
480291216013,house_retire_yes,151.0
480291216014,house_retire_yes,63.0
480291218021,house_retire_yes,93.0
480291218023,house_retire_yes,140.0
480291303002,house_retire_yes,79.0
480291303001,house_retire_yes,18.0
480291307002,house_retire_yes,66.0
480291307001,house_retire_yes,35.0
480291702004,house_retire_yes,18.0
480291702006,house_retire_yes,22.0
480291702002,house_retire_yes,9.0
480291702005,house_retire_yes,69.0
480291702001,house_retire_yes,8.0
480291316011,house_retire_yes,93.0
480291317001,house_retire_yes,8.0
480291412004,house_retire_yes,34.0
480291412001,house_retire_yes,40.0
480291412005,house_retire_yes,56.0
480291412002,house_retire_yes,36.0
480291501003,house_retire_yes,16.0
480291309002,house_retire_yes,89.0
480291309003,house_retire_yes,43.0
480291310003,house_retire_yes,30.0
480291310004,house_retire_yes,29.0
480291310001,house_retire_yes,214.0
480291310002,house_retire_yes,76.0
480291405003,house_retire_yes,122.0
480291405002,house_retire_yes,71.0
480291405001,house_retire_yes,23.0
480291405004,house_retire_yes,24.0
480291406002,house_retire_yes,58.0
480291406001,house_retire_yes,85.0
480291407003,house_retire_yes,57.0
480291407001,house_retire_yes,72.0
480291407004,house_retire_yes,47.0
480291407005,house_retire_yes,35.0
480291413001,house_retire_yes,17.0
480291413003,house_retire_yes,87.0
480291702003,house_retire_yes,0.0
480291806023,house_retire_yes,77.0
480291806021,house_retire_yes,45.0
480291911021,house_retire_yes,121.0
480291911022,house_retire_yes,136.0
480291911023,house_retire_yes,45.0
480291209012,house_retire_yes,163.0
480291209011,house_retire_yes,51.0
480291211122,house_retire_yes,99.0
480291519001,house_retire_yes,71.0
480291409002,house_retire_yes,52.0
480291417001,house_retire_yes,111.0
480291417002,house_retire_yes,118.0
480291505012,house_retire_yes,50.0
480291505014,house_retire_yes,21.0
480291604002,house_retire_yes,85.0
480291604004,house_retire_yes,88.0
480291604001,house_retire_yes,117.0
480291604003,house_retire_yes,37.0
480291611005,house_retire_yes,88.0
480291611006,house_retire_yes,14.0
480291611001,house_retire_yes,97.0
480291611004,house_retire_yes,55.0
480291611003,house_retire_yes,51.0
480291611002,house_retire_yes,108.0
480291813012,house_retire_yes,125.0
480291813011,house_retire_yes,66.0
480291814021,house_retire_yes,55.0
480291814022,house_retire_yes,35.0
480291109001,house_retire_yes,35.0
480291110003,house_retire_yes,26.0
480291110002,house_retire_yes,22.0
480291204001,house_retire_yes,119.0
480291204005,house_retire_yes,50.0
480291710004,house_retire_yes,47.0
480291204003,house_retire_yes,43.0
480291207021,house_retire_yes,200.0
480291704014,house_retire_yes,23.0
480291710001,house_retire_yes,39.0
480291710002,house_retire_yes,15.0
480291717001,house_retire_yes,115.0
480291717003,house_retire_yes,49.0
480291215013,house_retire_yes,183.0
480291215011,house_retire_yes,132.0
480291215074,house_retire_yes,68.0
480291215071,house_retire_yes,134.0
480291215072,house_retire_yes,156.0
480291312002,house_retire_yes,73.0
480291401002,house_retire_yes,50.0
480291401001,house_retire_yes,41.0
480291404004,house_retire_yes,20.0
480291101002,house_retire_yes,95.0
480291209022,house_retire_yes,365.0
480291209021,house_retire_yes,106.0
480291214033,house_retire_yes,102.0
480291214031,house_retire_yes,150.0
480291216042,house_retire_yes,147.0
480291216043,house_retire_yes,14.0
480291306004,house_retire_yes,27.0
480291207022,house_retire_yes,129.0
480291213003,house_retire_yes,175.0
480291213001,house_retire_yes,215.0
480291703004,house_retire_yes,37.0
480291703002,house_retire_yes,16.0
480291703006,house_retire_yes,61.0
480291703005,house_retire_yes,29.0
480291703003,house_retire_yes,30.0
480291704024,house_retire_yes,17.0
480291704021,house_retire_yes,52.0
480291706001,house_retire_yes,48.0
480291706004,house_retire_yes,33.0
480291706003,house_retire_yes,74.0
480291707003,house_retire_yes,68.0
480291707002,house_retire_yes,64.0
480291212044,house_retire_yes,195.0
480291212043,house_retire_yes,40.0
480291404001,house_retire_yes,43.0
480291404002,house_retire_yes,95.0
480291504003,house_retire_yes,133.0
480291215052,house_retire_yes,63.0
480291403002,house_retire_yes,25.0
480291403003,house_retire_yes,59.0
480291520001,house_retire_yes,58.0
480291701011,house_retire_yes,7.0
480291701012,house_retire_yes,6.0
480291718022,house_retire_yes,78.0
480291718025,house_retire_yes,55.0
480291718023,house_retire_yes,37.0
480291408004,house_retire_yes,16.0
480291408001,house_retire_yes,85.0
480291408005,house_retire_yes,39.0
480291408003,house_retire_yes,13.0
480291408002,house_retire_yes,56.0
480291505023,house_retire_yes,49.0
480291505022,house_retire_yes,10.0
480291505021,house_retire_yes,24.0
480291507006,house_retire_yes,7.0
480291507001,house_retire_yes,11.0
480291507003,house_retire_yes,0.0
480291601004,house_retire_yes,26.0
480291601003,house_retire_yes,16.0
