block_group,household_wage_sal,count_household_wage_sal
480291805031,house_wage_sal_yes,203.0
480291805032,house_wage_sal_yes,422.0
480291704013,house_wage_sal_yes,272.0
480291704012,house_wage_sal_yes,120.0
480291914061,house_wage_sal_yes,904.0
480291914092,house_wage_sal_yes,1262.0
480291212042,house_wage_sal_yes,662.0
480291215081,house_wage_sal_yes,337.0
480291914051,house_wage_sal_yes,941.0
480291914052,house_wage_sal_yes,649.0
480291914053,house_wage_sal_yes,459.0
480291914055,house_wage_sal_yes,271.0
480291709001,house_wage_sal_yes,327.0
480291709003,house_wage_sal_yes,198.0
480291610002,house_wage_sal_yes,399.0
480291610001,house_wage_sal_yes,410.0
480291615015,house_wage_sal_yes,419.0
480291615011,house_wage_sal_yes,937.0
480291615013,house_wage_sal_yes,316.0
480291711001,house_wage_sal_yes,343.0
480291620011,house_wage_sal_yes,438.0
480291701022,house_wage_sal_yes,192.0
480291701021,house_wage_sal_yes,186.0
480291807022,house_wage_sal_yes,284.0
480291807023,house_wage_sal_yes,133.0
480291807025,house_wage_sal_yes,107.0
480291809012,house_wage_sal_yes,267.0
480291809015,house_wage_sal_yes,230.0
480291106003,house_wage_sal_yes,30.0
480291108002,house_wage_sal_yes,163.0
480291108001,house_wage_sal_yes,247.0
480291208004,house_wage_sal_yes,232.0
480291208006,house_wage_sal_yes,307.0
480291208001,house_wage_sal_yes,179.0
480291208002,house_wage_sal_yes,272.0
480291208005,house_wage_sal_yes,222.0
480291208007,house_wage_sal_yes,262.0
480291208003,house_wage_sal_yes,408.0
480291211113,house_wage_sal_yes,475.0
480291211111,house_wage_sal_yes,344.0
480291211112,house_wage_sal_yes,602.0
480291211114,house_wage_sal_yes,569.0
480291211161,house_wage_sal_yes,653.0
480291211164,house_wage_sal_yes,489.0
480291211162,house_wage_sal_yes,106.0
480291211181,house_wage_sal_yes,519.0
480291211182,house_wage_sal_yes,1046.0
480291212031,house_wage_sal_yes,206.0
480291212032,house_wage_sal_yes,377.0
480291212051,house_wage_sal_yes,788.0
480291817182,house_wage_sal_yes,508.0
480291818111,house_wage_sal_yes,984.0
480291902003,house_wage_sal_yes,414.0
480291902004,house_wage_sal_yes,267.0
480291902001,house_wage_sal_yes,200.0
480291802021,house_wage_sal_yes,321.0
480291802023,house_wage_sal_yes,415.0
480291805013,house_wage_sal_yes,270.0
480291805012,house_wage_sal_yes,157.0
480291805011,house_wage_sal_yes,458.0
480291808002,house_wage_sal_yes,363.0
480291808001,house_wage_sal_yes,334.0
480291708002,house_wage_sal_yes,176.0
480291106002,house_wage_sal_yes,329.0
480291504001,house_wage_sal_yes,115.0
480291504002,house_wage_sal_yes,156.0
480291510001,house_wage_sal_yes,265.0
480291521002,house_wage_sal_yes,235.0
