block_group,ratio_inc_pov,count_ratio_inc_pov
480291805031,ratio_inc_pov_ann_000_050,33.0
480291805032,ratio_inc_pov_ann_000_050,160.0
480291704013,ratio_inc_pov_ann_000_050,630.0
480291704012,ratio_inc_pov_ann_000_050,260.0
480291914061,ratio_inc_pov_ann_000_050,0.0
480291914092,ratio_inc_pov_ann_000_050,122.0
480291212042,ratio_inc_pov_ann_000_050,257.0
480291215081,ratio_inc_pov_ann_000_050,79.0
480291914051,ratio_inc_pov_ann_000_050,103.0
480291914052,ratio_inc_pov_ann_000_050,2.0
480291914053,ratio_inc_pov_ann_000_050,123.0
480291914055,ratio_inc_pov_ann_000_050,35.0
480291709001,ratio_inc_pov_ann_000_050,387.0
480291709003,ratio_inc_pov_ann_000_050,32.0
480291610002,ratio_inc_pov_ann_000_050,251.0
480291610001,ratio_inc_pov_ann_000_050,512.0
480291615015,ratio_inc_pov_ann_000_050,374.0
480291615011,ratio_inc_pov_ann_000_050,126.0
480291615013,ratio_inc_pov_ann_000_050,0.0
480291711001,ratio_inc_pov_ann_000_050,316.0
480291620011,ratio_inc_pov_ann_000_050,149.0
480291701022,ratio_inc_pov_ann_000_050,0.0
480291701021,ratio_inc_pov_ann_000_050,28.0
480291807022,ratio_inc_pov_ann_000_050,265.0
480291807023,ratio_inc_pov_ann_000_050,39.0
480291807025,ratio_inc_pov_ann_000_050,118.0
480291809012,ratio_inc_pov_ann_000_050,176.0
480291809015,ratio_inc_pov_ann_000_050,25.0
480291106003,ratio_inc_pov_ann_000_050,50.0
480291108002,ratio_inc_pov_ann_000_050,74.0
480291108001,ratio_inc_pov_ann_000_050,80.0
480291208004,ratio_inc_pov_ann_000_050,0.0
480291208006,ratio_inc_pov_ann_000_050,0.0
480291208001,ratio_inc_pov_ann_000_050,0.0
480291208002,ratio_inc_pov_ann_000_050,18.0
480291208005,ratio_inc_pov_ann_000_050,0.0
480291208007,ratio_inc_pov_ann_000_050,14.0
480291208003,ratio_inc_pov_ann_000_050,25.0
480291211113,ratio_inc_pov_ann_000_050,225.0
480291211111,ratio_inc_pov_ann_000_050,0.0
480291211112,ratio_inc_pov_ann_000_050,128.0
480291211114,ratio_inc_pov_ann_000_050,391.0
480291211161,ratio_inc_pov_ann_000_050,144.0
480291211164,ratio_inc_pov_ann_000_050,19.0
480291211162,ratio_inc_pov_ann_000_050,26.0
480291211181,ratio_inc_pov_ann_000_050,40.0
480291211182,ratio_inc_pov_ann_000_050,99.0
480291212031,ratio_inc_pov_ann_000_050,96.0
480291212032,ratio_inc_pov_ann_000_050,135.0
480291212051,ratio_inc_pov_ann_000_050,256.0
480291817182,ratio_inc_pov_ann_000_050,50.0
480291818111,ratio_inc_pov_ann_000_050,23.0
480291902003,ratio_inc_pov_ann_000_050,21.0
480291902004,ratio_inc_pov_ann_000_050,24.0
480291902001,ratio_inc_pov_ann_000_050,114.0
480291802021,ratio_inc_pov_ann_000_050,214.0
480291802023,ratio_inc_pov_ann_000_050,230.0
480291805013,ratio_inc_pov_ann_000_050,45.0
480291805012,ratio_inc_pov_ann_000_050,56.0
480291805011,ratio_inc_pov_ann_000_050,178.0
480291808002,ratio_inc_pov_ann_000_050,124.0
480291808001,ratio_inc_pov_ann_000_050,162.0
480291708002,ratio_inc_pov_ann_000_050,169.0
480291106002,ratio_inc_pov_ann_000_050,189.0
480291504001,ratio_inc_pov_ann_000_050,0.0
480291504002,ratio_inc_pov_ann_000_050,110.0
480291510001,ratio_inc_pov_ann_000_050,31.0
480291521002,ratio_inc_pov_ann_000_050,137.0
480291521001,ratio_inc_pov_ann_000_050,138.0
480291607024,ratio_inc_pov_ann_000_050,135.0
480291607023,ratio_inc_pov_ann_000_050,107.0
480291616002,ratio_inc_pov_ann_000_050,253.0
480291616001,ratio_inc_pov_ann_000_050,115.0
480291216012,ratio_inc_pov_ann_000_050,41.0
480291216013,ratio_inc_pov_ann_000_050,51.0
480291216014,ratio_inc_pov_ann_000_050,316.0
480291218021,ratio_inc_pov_ann_000_050,106.0
480291218023,ratio_inc_pov_ann_000_050,18.0
480291303002,ratio_inc_pov_ann_000_050,106.0
480291303001,ratio_inc_pov_ann_000_050,70.0
480291307002,ratio_inc_pov_ann_000_050,13.0
480291307001,ratio_inc_pov_ann_000_050,361.0
480291702004,ratio_inc_pov_ann_000_050,160.0
480291702006,ratio_inc_pov_ann_000_050,2.0
480291702002,ratio_inc_pov_ann_000_050,0.0
480291702005,ratio_inc_pov_ann_000_050,200.0
480291702001,ratio_inc_pov_ann_000_050,48.0
480291316011,ratio_inc_pov_ann_000_050,108.0
480291317001,ratio_inc_pov_ann_000_050,39.0
480291412004,ratio_inc_pov_ann_000_050,23.0
480291412001,ratio_inc_pov_ann_000_050,272.0
480291412005,ratio_inc_pov_ann_000_050,65.0
480291412002,ratio_inc_pov_ann_000_050,64.0
480291501003,ratio_inc_pov_ann_000_050,153.0
480291309002,ratio_inc_pov_ann_000_050,121.0
480291309003,ratio_inc_pov_ann_000_050,181.0
480291310003,ratio_inc_pov_ann_000_050,108.0
480291310004,ratio_inc_pov_ann_000_050,173.0
480291310001,ratio_inc_pov_ann_000_050,501.0
480291310002,ratio_inc_pov_ann_000_050,97.0
480291405003,ratio_inc_pov_ann_000_050,48.0
480291405002,ratio_inc_pov_ann_000_050,29.0
480291405001,ratio_inc_pov_ann_000_050,93.0
480291405004,ratio_inc_pov_ann_000_050,3.0
480291406002,ratio_inc_pov_ann_000_050,71.0
480291406001,ratio_inc_pov_ann_000_050,171.0
480291407003,ratio_inc_pov_ann_000_050,84.0
480291407001,ratio_inc_pov_ann_000_050,22.0
480291407004,ratio_inc_pov_ann_000_050,32.0
480291407005,ratio_inc_pov_ann_000_050,79.0
480291413001,ratio_inc_pov_ann_000_050,88.0
480291413003,ratio_inc_pov_ann_000_050,273.0
480291702003,ratio_inc_pov_ann_000_050,294.0
480291806023,ratio_inc_pov_ann_000_050,24.0
480291806021,ratio_inc_pov_ann_000_050,25.0
480291911021,ratio_inc_pov_ann_000_050,0.0
480291911022,ratio_inc_pov_ann_000_050,20.0
480291911023,ratio_inc_pov_ann_000_050,51.0
480291209012,ratio_inc_pov_ann_000_050,121.0
480291209011,ratio_inc_pov_ann_000_050,112.0
