block_group,commute_method,count_commute_method
480291805031,commute_car,336.0
480291805032,commute_car,765.0
480291704013,commute_car,332.0
480291704012,commute_car,100.0
480291914061,commute_car,1189.0
480291914092,commute_car,1634.0
480291212042,commute_car,856.0
480291215081,commute_car,626.0
480291914051,commute_car,1484.0
480291914052,commute_car,993.0
480291914053,commute_car,590.0
480291914055,commute_car,358.0
480291709001,commute_car,473.0
480291709003,commute_car,283.0
480291610002,commute_car,703.0
480291610001,commute_car,606.0
480291615015,commute_car,580.0
480291615011,commute_car,1355.0
480291615013,commute_car,557.0
480291711001,commute_car,754.0
480291620011,commute_car,908.0
480291701022,commute_car,586.0
480291701021,commute_car,342.0
480291807022,commute_car,614.0
480291807023,commute_car,185.0
480291807025,commute_car,146.0
480291809012,commute_car,568.0
480291809015,commute_car,410.0
480291106003,commute_car,48.0
480291108002,commute_car,177.0
480291108001,commute_car,262.0
480291208004,commute_car,318.0
480291208006,commute_car,445.0
480291208001,commute_car,452.0
480291208002,commute_car,411.0
480291208005,commute_car,289.0
480291208007,commute_car,369.0
480291208003,commute_car,717.0
480291211113,commute_car,756.0
480291211111,commute_car,540.0
480291211112,commute_car,981.0
480291211114,commute_car,861.0
480291211161,commute_car,762.0
480291211164,commute_car,847.0
480291211162,commute_car,143.0
480291211181,commute_car,776.0
480291211182,commute_car,1654.0
480291212031,commute_car,271.0
480291212032,commute_car,607.0
480291212051,commute_car,1323.0
480291817182,commute_car,895.0
480291818111,commute_car,1485.0
480291902003,commute_car,502.0
480291902004,commute_car,343.0
480291902001,commute_car,232.0
480291802021,commute_car,345.0
480291802023,commute_car,480.0
480291805013,commute_car,423.0
480291805012,commute_car,245.0
480291805011,commute_car,610.0
480291808002,commute_car,494.0
480291808001,commute_car,280.0
480291708002,commute_car,254.0
480291106002,commute_car,419.0
480291504001,commute_car,173.0
480291504002,commute_car,292.0
480291510001,commute_car,392.0
480291521002,commute_car,451.0
480291521001,commute_car,406.0
480291607024,commute_car,234.0
480291607023,commute_car,449.0
480291616002,commute_car,932.0
480291616001,commute_car,753.0
480291216012,commute_car,650.0
480291216013,commute_car,661.0
480291216014,commute_car,302.0
480291218021,commute_car,990.0
480291218023,commute_car,1705.0
480291303002,commute_car,389.0
480291303001,commute_car,209.0
480291307002,commute_car,300.0
480291307001,commute_car,361.0
480291702004,commute_car,281.0
480291702006,commute_car,309.0
480291702002,commute_car,320.0
480291702005,commute_car,81.0
480291702001,commute_car,213.0
480291316011,commute_car,342.0
480291317001,commute_car,293.0
480291412004,commute_car,193.0
480291412001,commute_car,439.0
480291412005,commute_car,577.0
480291412002,commute_car,493.0
480291501003,commute_car,388.0
480291309002,commute_car,322.0
480291309003,commute_car,385.0
480291310003,commute_car,294.0
480291310004,commute_car,211.0
480291310001,commute_car,721.0
480291310002,commute_car,259.0
480291405003,commute_car,540.0
480291405002,commute_car,588.0
480291405001,commute_car,377.0
480291405004,commute_car,290.0
480291406002,commute_car,402.0
480291406001,commute_car,764.0
480291407003,commute_car,252.0
480291407001,commute_car,457.0
480291407004,commute_car,389.0
480291407005,commute_car,513.0
480291413001,commute_car,370.0
480291413003,commute_car,1248.0
480291702003,commute_car,371.0
480291806023,commute_car,339.0
480291806021,commute_car,380.0
480291911021,commute_car,286.0
480291911022,commute_car,274.0
480291911023,commute_car,430.0
480291209012,commute_car,638.0
480291209011,commute_car,318.0
480291211122,commute_car,711.0
480291519001,commute_car,517.0
480291409002,commute_car,475.0
480291417001,commute_car,1282.0
480291417002,commute_car,1280.0
480291505012,commute_car,392.0
480291505014,commute_car,565.0
480291604002,commute_car,651.0
480291604004,commute_car,294.0
480291604001,commute_car,498.0
480291604003,commute_car,376.0
480291611005,commute_car,610.0
480291611006,commute_car,163.0
480291611001,commute_car,1410.0
480291611004,commute_car,840.0
480291611003,commute_car,428.0
480291611002,commute_car,302.0
480291813012,commute_car,785.0
480291813011,commute_car,1723.0
480291814021,commute_car,317.0
480291814022,commute_car,607.0
480291109001,commute_car,875.0
480291110003,commute_car,624.0
480291110002,commute_car,214.0
480291204001,commute_car,781.0
480291204005,commute_car,401.0
480291710004,commute_car,538.0
480291204003,commute_car,298.0
480291207021,commute_car,1052.0
480291704014,commute_car,248.0
