block_group,house_income,count_house_income
480291805031,house_ann_inc_000_010,10.0
480291805032,house_ann_inc_000_010,33.0
480291704013,house_ann_inc_000_010,130.0
480291704012,house_ann_inc_000_010,57.0
480291914061,house_ann_inc_000_010,0.0
480291914092,house_ann_inc_000_010,80.0
480291212042,house_ann_inc_000_010,107.0
480291215081,house_ann_inc_000_010,26.0
480291914051,house_ann_inc_000_010,31.0
480291914052,house_ann_inc_000_010,0.0
480291914053,house_ann_inc_000_010,0.0
480291914055,house_ann_inc_000_010,16.0
480291709001,house_ann_inc_000_010,87.0
480291709003,house_ann_inc_000_010,9.0
480291610002,house_ann_inc_000_010,35.0
480291610001,house_ann_inc_000_010,95.0
480291615015,house_ann_inc_000_010,89.0
480291615011,house_ann_inc_000_010,13.0
480291615013,house_ann_inc_000_010,14.0
480291711001,house_ann_inc_000_010,89.0
480291620011,house_ann_inc_000_010,33.0
480291701022,house_ann_inc_000_010,28.0
480291701021,house_ann_inc_000_010,19.0
480291807022,house_ann_inc_000_010,68.0
480291807023,house_ann_inc_000_010,0.0
480291807025,house_ann_inc_000_010,31.0
480291809012,house_ann_inc_000_010,85.0
480291809015,house_ann_inc_000_010,31.0
480291106003,house_ann_inc_000_010,95.0
480291108002,house_ann_inc_000_010,91.0
480291108001,house_ann_inc_000_010,43.0
480291208004,house_ann_inc_000_010,0.0
480291208006,house_ann_inc_000_010,0.0
480291208001,house_ann_inc_000_010,0.0
480291208002,house_ann_inc_000_010,14.0
480291208005,house_ann_inc_000_010,0.0
480291208007,house_ann_inc_000_010,14.0
480291208003,house_ann_inc_000_010,15.0
480291211113,house_ann_inc_000_010,30.0
480291211111,house_ann_inc_000_010,0.0
480291211112,house_ann_inc_000_010,80.0
480291211114,house_ann_inc_000_010,140.0
480291211161,house_ann_inc_000_010,18.0
480291211164,house_ann_inc_000_010,55.0
480291211162,house_ann_inc_000_010,26.0
480291211181,house_ann_inc_000_010,10.0
480291211182,house_ann_inc_000_010,35.0
480291212031,house_ann_inc_000_010,65.0
480291212032,house_ann_inc_000_010,63.0
480291212051,house_ann_inc_000_010,22.0
480291817182,house_ann_inc_000_010,28.0
480291818111,house_ann_inc_000_010,21.0
480291902003,house_ann_inc_000_010,15.0
480291902004,house_ann_inc_000_010,30.0
480291902001,house_ann_inc_000_010,42.0
480291802021,house_ann_inc_000_010,169.0
480291802023,house_ann_inc_000_010,186.0
480291805013,house_ann_inc_000_010,8.0
480291805012,house_ann_inc_000_010,23.0
480291805011,house_ann_inc_000_010,121.0
480291808002,house_ann_inc_000_010,86.0
480291808001,house_ann_inc_000_010,57.0
480291708002,house_ann_inc_000_010,87.0
480291106002,house_ann_inc_000_010,346.0
480291504001,house_ann_inc_000_010,21.0
480291504002,house_ann_inc_000_010,15.0
480291510001,house_ann_inc_000_010,13.0
480291521002,house_ann_inc_000_010,23.0
480291521001,house_ann_inc_000_010,29.0
480291607024,house_ann_inc_000_010,55.0
480291607023,house_ann_inc_000_010,92.0
480291616002,house_ann_inc_000_010,96.0
480291616001,house_ann_inc_000_010,16.0
480291216012,house_ann_inc_000_010,0.0
480291216013,house_ann_inc_000_010,31.0
480291216014,house_ann_inc_000_010,81.0
480291218021,house_ann_inc_000_010,0.0
480291218023,house_ann_inc_000_010,16.0
480291303002,house_ann_inc_000_010,41.0
480291303001,house_ann_inc_000_010,37.0
480291307002,house_ann_inc_000_010,21.0
480291307001,house_ann_inc_000_010,106.0
480291702004,house_ann_inc_000_010,36.0
480291702006,house_ann_inc_000_010,26.0
480291702002,house_ann_inc_000_010,0.0
480291702005,house_ann_inc_000_010,175.0
480291702001,house_ann_inc_000_010,13.0
480291316011,house_ann_inc_000_010,27.0
480291317001,house_ann_inc_000_010,11.0
480291412004,house_ann_inc_000_010,11.0
480291412001,house_ann_inc_000_010,30.0
480291412005,house_ann_inc_000_010,54.0
480291412002,house_ann_inc_000_010,40.0
480291501003,house_ann_inc_000_010,67.0
480291309002,house_ann_inc_000_010,44.0
480291309003,house_ann_inc_000_010,66.0
480291310003,house_ann_inc_000_010,7.0
480291310004,house_ann_inc_000_010,89.0
480291310001,house_ann_inc_000_010,258.0
480291310002,house_ann_inc_000_010,26.0
480291405003,house_ann_inc_000_010,13.0
480291405002,house_ann_inc_000_010,11.0
480291405001,house_ann_inc_000_010,20.0
480291405004,house_ann_inc_000_010,32.0
480291406002,house_ann_inc_000_010,36.0
480291406001,house_ann_inc_000_010,64.0
480291407003,house_ann_inc_000_010,132.0
480291407001,house_ann_inc_000_010,15.0
480291407004,house_ann_inc_000_010,32.0
480291407005,house_ann_inc_000_010,56.0
480291413001,house_ann_inc_000_010,44.0
480291413003,house_ann_inc_000_010,50.0
480291702003,house_ann_inc_000_010,44.0
480291806023,house_ann_inc_000_010,0.0
480291806021,house_ann_inc_000_010,25.0
480291911021,house_ann_inc_000_010,10.0
480291911022,house_ann_inc_000_010,10.0
480291911023,house_ann_inc_000_010,14.0
480291209012,house_ann_inc_000_010,86.0
480291209011,house_ann_inc_000_010,52.0
480291211122,house_ann_inc_000_010,29.0
480291519001,house_ann_inc_000_010,56.0
480291409002,house_ann_inc_000_010,39.0
480291417001,house_ann_inc_000_010,54.0
480291417002,house_ann_inc_000_010,80.0
480291505012,house_ann_inc_000_010,27.0
480291505014,house_ann_inc_000_010,23.0
480291604002,house_ann_inc_000_010,55.0
480291604004,house_ann_inc_000_010,25.0
480291604001,house_ann_inc_000_010,8.0
480291604003,house_ann_inc_000_010,54.0
480291611005,house_ann_inc_000_010,38.0
480291611006,house_ann_inc_000_010,17.0
480291611001,house_ann_inc_000_010,51.0
480291611004,house_ann_inc_000_010,0.0
480291611003,house_ann_inc_000_010,0.0
480291611002,house_ann_inc_000_010,14.0
480291813012,house_ann_inc_000_010,36.0
480291813011,house_ann_inc_000_010,114.0
480291814021,house_ann_inc_000_010,82.0
480291814022,house_ann_inc_000_010,212.0
480291109001,house_ann_inc_000_010,73.0
480291110003,house_ann_inc_000_010,37.0
480291110002,house_ann_inc_000_010,13.0
480291204001,house_ann_inc_000_010,0.0
480291204005,house_ann_inc_000_010,0.0
480291710004,house_ann_inc_000_010,57.0
480291204003,house_ann_inc_000_010,0.0
480291207021,house_ann_inc_000_010,100.0
480291704014,house_ann_inc_000_010,50.0
480291710001,house_ann_inc_000_010,71.0
480291710002,house_ann_inc_000_010,25.0
480291717001,house_ann_inc_000_010,36.0
480291717003,house_ann_inc_000_010,0.0
480291215013,house_ann_inc_000_010,48.0
480291215011,house_ann_inc_000_010,12.0
480291215074,house_ann_inc_000_010,29.0
480291215071,house_ann_inc_000_010,1.0
480291215072,house_ann_inc_000_010,7.0
480291312002,house_ann_inc_000_010,43.0
480291401002,house_ann_inc_000_010,21.0
480291401001,house_ann_inc_000_010,61.0
480291404004,house_ann_inc_000_010,70.0
480291101002,house_ann_inc_000_010,54.0
480291209022,house_ann_inc_000_010,70.0
480291209021,house_ann_inc_000_010,49.0
480291214033,house_ann_inc_000_010,39.0
480291214031,house_ann_inc_000_010,141.0
480291216042,house_ann_inc_000_010,0.0
480291216043,house_ann_inc_000_010,0.0
480291306004,house_ann_inc_000_010,119.0
480291207022,house_ann_inc_000_010,38.0
480291213003,house_ann_inc_000_010,16.0
480291213001,house_ann_inc_000_010,56.0
480291703004,house_ann_inc_000_010,45.0
480291703002,house_ann_inc_000_010,19.0
480291703006,house_ann_inc_000_010,43.0
480291703005,house_ann_inc_000_010,131.0
480291703003,house_ann_inc_000_010,88.0
480291704024,house_ann_inc_000_010,0.0
480291704021,house_ann_inc_000_010,66.0
480291706001,house_ann_inc_000_010,0.0
480291706004,house_ann_inc_000_010,17.0
480291706003,house_ann_inc_000_010,32.0
480291707003,house_ann_inc_000_010,70.0
480291707002,house_ann_inc_000_010,10.0
480291212044,house_ann_inc_000_010,89.0
480291212043,house_ann_inc_000_010,12.0
480291404001,house_ann_inc_000_010,0.0
480291404002,house_ann_inc_000_010,51.0
480291504003,house_ann_inc_000_010,20.0
480291215052,house_ann_inc_000_010,10.0
480291403002,house_ann_inc_000_010,55.0
480291403003,house_ann_inc_000_010,0.0
480291520001,house_ann_inc_000_010,119.0
480291701011,house_ann_inc_000_010,45.0
480291701012,house_ann_inc_000_010,33.0
480291718022,house_ann_inc_000_010,89.0
480291718025,house_ann_inc_000_010,15.0
480291718023,house_ann_inc_000_010,78.0
480291408004,house_ann_inc_000_010,79.0
480291408001,house_ann_inc_000_010,8.0
480291408005,house_ann_inc_000_010,67.0
480291408003,house_ann_inc_000_010,26.0
480291408002,house_ann_inc_000_010,86.0
480291505023,house_ann_inc_000_010,16.0
480291505022,house_ann_inc_000_010,33.0
480291505021,house_ann_inc_000_010,65.0
480291507006,house_ann_inc_000_010,0.0
480291507001,house_ann_inc_000_010,19.0
480291507003,house_ann_inc_000_010,8.0
480291601004,house_ann_inc_000_010,156.0
480291601003,house_ann_inc_000_010,119.0
480291601001,house_ann_inc_000_010,98.0
480291813023,house_ann_inc_000_010,31.0
480291809021,house_ann_inc_000_010,83.0
480291809023,house_ann_inc_000_010,12.0
480291809022,house_ann_inc_000_010,13.0
480291809025,house_ann_inc_000_010,0.0
480291810031,house_ann_inc_000_010,113.0
480291810051,house_ann_inc_000_010,145.0
480291810052,house_ann_inc_000_010,15.0
480291815061,house_ann_inc_000_010,0.0
480291815062,house_ann_inc_000_010,35.0
480291817151,house_ann_inc_000_010,36.0
480291203002,house_ann_inc_000_010,0.0
480291203003,house_ann_inc_000_010,38.0
480291203005,house_ann_inc_000_010,10.0
480291205013,house_ann_inc_000_010,55.0
480291205015,house_ann_inc_000_010,16.0
480291205012,house_ann_inc_000_010,73.0
480291205014,house_ann_inc_000_010,175.0
480291211152,house_ann_inc_000_010,21.0
480291211153,house_ann_inc_000_010,0.0
480291211172,house_ann_inc_000_010,49.0
480291211171,house_ann_inc_000_010,7.0
480291720021,house_ann_inc_000_010,13.0
480291817031,house_ann_inc_000_010,119.0
480291817032,house_ann_inc_000_010,14.0
480291803003,house_ann_inc_000_010,39.0
480291803001,house_ann_inc_000_010,32.0
480291803002,house_ann_inc_000_010,60.0
480291817161,house_ann_inc_000_010,0.0
480291910034,house_ann_inc_000_010,47.0
480291910035,house_ann_inc_000_010,14.0
480291910033,house_ann_inc_000_010,14.0
480291910031,house_ann_inc_000_010,42.0
480291910032,house_ann_inc_000_010,218.0
480291214041,house_ann_inc_000_010,31.0
480291214042,house_ann_inc_000_010,361.0
480291214043,house_ann_inc_000_010,50.0
480291313001,house_ann_inc_000_010,35.0
480291313004,house_ann_inc_000_010,38.0
480291316061,house_ann_inc_000_010,6.0
480291103003,house_ann_inc_000_010,25.0
480291103002,house_ann_inc_000_010,15.0
480291201001,house_ann_inc_000_010,19.0
480291206002,house_ann_inc_000_010,47.0
480291206003,house_ann_inc_000_010,16.0
480291206006,house_ann_inc_000_010,37.0
480291206005,house_ann_inc_000_010,0.0
480291517003,house_ann_inc_000_010,25.0
480291517002,house_ann_inc_000_010,45.0
480291517001,house_ann_inc_000_010,34.0
480291607013,house_ann_inc_000_010,19.0
480291306001,house_ann_inc_000_010,62.0
480291306003,house_ann_inc_000_010,49.0
480291306002,house_ann_inc_000_010,69.0
480291402003,house_ann_inc_000_010,30.0
480291402002,house_ann_inc_000_010,30.0
480291402001,house_ann_inc_000_010,19.0
480291402004,house_ann_inc_000_010,11.0
480291309001,house_ann_inc_000_010,77.0
480291717004,house_ann_inc_000_010,19.0
480291719035,house_ann_inc_000_010,0.0
